ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
8123,Daniel Sampson,18/11/2022,593
8124,Colleen Johnson,12/06/2022,715
8125,Jordan Williams,10/06/2022,934
8126,Colleen Jones,24/08/2022,292
8127,Sarah Johnson,29/01/2022,860
8128,Michael Jones,10/06/2022,246
8129,Andrea Brown,16/10/2022,884
8130,Michael Simpson,23/02/2022,699
8131,Gregory Williams,17/12/2022,443
8132,Susan Allen,02/12/2022,61
8133,Anthony Simpson,27/06/2022,621
8134,Anthony Williams,06/11/2022,311
8135,Michael Rodriguez,02/09/2022,215
8136,Andrea Sampson,17/06/2022,52
8137,Michael Smith,16/10/2022,124
8138,Susan Williams,05/04/2022,411
8139,Andrea Brown,04/03/2022,535
8140,Anthony Johnson,22/12/2022,335
8141,Daniel Bishop,27/09/2022,486
8142,Gregory Simpson,14/10/2022,508
8143,Sarah Allen,28/03/2022,210
8144,Jordan Sampson,01/10/2022,137
8145,Andrea Allen,13/02/2022,894
8146,Michael Rodriguez,21/11/2022,355
8147,Sarah Jones,15/05/2022,670
8148,Sarah Simpson,01/03/2022,284
8149,Michael Allen,01/09/2022,380
8150,Gregory Smith,10/07/2022,282
8151,Sarah Jones,14/07/2022,989
8152,Andrea Williams,17/12/2022,344
8153,Jessica Simpson,25/07/2022,475
8154,Michael Allen,19/01/2022,339
8155,Jessica Brown,03/08/2022,55
8156,Daniel Smith,25/01/2022,11
8157,Jessica Smith,23/12/2022,405
8158,Jessica Allen,24/09/2022,701
8159,Michael Smith,05/11/2022,682
8160,Anthony Simpson,08/04/2022,707
8161,Sarah Simpson,12/12/2022,142
8162,Colleen Johnson,28/09/2022,113
8163,Daniel Allen,05/08/2022,751
8164,Susan Allen,01/08/2022,737
8165,Anthony Bishop,31/05/2022,538
8166,Jessica Johnson,06/12/2022,865
8167,Jordan Smith,24/07/2022,285
8168,Jordan Bishop,16/07/2022,465
8169,Gregory Allen,12/08/2022,721
8170,Jordan Rodriguez,14/10/2022,377
8171,Jordan Simpson,16/03/2022,725
8172,Sarah Williams,21/01/2022,125
8173,Daniel Williams,16/09/2022,651
8174,Susan Brown,01/11/2022,392
8175,Daniel Smith,24/04/2022,570
8176,Andrea Johnson,27/07/2022,602
8177,Jordan Brown,22/11/2022,462
8178,Andrea Johnson,03/07/2022,581
8179,Jessica Jones,07/03/2022,582
8180,Michael Williams,19/07/2022,290
8181,Jordan Sampson,01/08/2022,71
8182,Daniel Rodriguez,26/10/2022,35
8183,Sarah Bishop,03/05/2022,388
8184,Colleen Williams,18/11/2022,19
8185,Michael Bishop,16/07/2022,811
8186,Anthony Williams,29/05/2022,585
8187,Susan Williams,26/10/2022,304
8188,Colleen Johnson,17/04/2022,246
8189,Andrea Brown,10/12/2022,906
8190,Anthony Brown,21/09/2022,773
8191,Colleen Simpson,24/03/2022,880
8192,Gregory Simpson,30/01/2022,624
8193,Daniel Williams,08/02/2022,262
8194,Michael Sampson,04/04/2022,197
8195,Daniel Williams,02/12/2022,1000
8196,Jordan Jones,29/06/2022,747
8197,Gregory Smith,12/08/2022,309
8198,Gregory Williams,23/05/2022,539
8199,Susan Smith,29/05/2022,182
8200,Anthony Johnson,06/10/2022,112
8201,Jordan Bishop,29/01/2022,518
8202,Andrea Allen,15/09/2022,72
8203,Michael Simpson,09/12/2022,803
8204,Jordan Williams,27/07/2022,219
8205,Daniel Jones,09/04/2022,382
8206,Daniel Sampson,29/01/2022,600
8207,Anthony Bishop,18/07/2022,852
8208,Anthony Bishop,26/08/2022,318
8209,Anthony Allen,30/01/2022,623
8210,Michael Johnson,05/08/2022,903
8211,Jessica Brown,08/11/2022,281
8212,Daniel Sampson,16/10/2022,681
8213,Daniel Jones,19/04/2022,791
8214,Jessica Bishop,29/10/2022,94
8215,Jessica Brown,27/06/2022,140
8216,Anthony Simpson,31/05/2022,167
8217,Anthony Brown,19/03/2022,311
8218,Gregory Sampson,30/01/2022,740
8219,Anthony Simpson,25/07/2022,733
8220,Andrea Sampson,22/11/2022,976
8221,Susan Allen,20/07/2022,955
8222,Gregory Simpson,20/10/2022,605
8223,Jessica Williams,30/11/2022,662
8224,Andrea Jones,15/04/2022,675
8225,Jessica Bishop,10/11/2022,721
8226,Daniel Rodriguez,21/04/2022,938
8227,Michael Allen,26/03/2022,136
8228,Michael Smith,24/08/2022,995
8229,Colleen Allen,23/11/2022,857
8230,Michael Bishop,03/09/2022,589
8231,Michael Rodriguez,10/09/2022,192
8232,Andrea Jones,22/04/2022,225
8233,Anthony Smith,19/03/2022,471
8234,Daniel Smith,08/05/2022,563
8235,Daniel Allen,17/10/2022,205
8236,Anthony Jones,25/11/2022,234
8237,Michael Williams,05/11/2022,973
8238,Jessica Bishop,11/08/2022,960
8239,Anthony Jones,10/04/2022,347
8240,Anthony Allen,12/10/2022,832
8241,Susan Allen,18/11/2022,933
8242,Anthony Simpson,21/02/2022,403
8243,Susan Smith,30/03/2022,510
8244,Gregory Jones,29/10/2022,894
8245,Colleen Smith,17/03/2022,630
8246,Colleen Johnson,03/08/2022,815
8247,Jessica Allen,26/11/2022,210
8248,Jessica Sampson,03/08/2022,365
8249,Gregory Simpson,04/02/2022,304
8250,Colleen Jones,31/12/2022,387
8251,Anthony Rodriguez,27/10/2022,642
8252,Daniel Sampson,06/06/2022,489
8253,Jessica Jones,05/02/2022,135
8254,Jordan Sampson,31/08/2022,307
8255,Daniel Williams,18/08/2022,83
8256,Sarah Allen,30/10/2022,263
8257,Susan Jones,17/07/2022,844
8258,Michael Bishop,07/03/2022,879
8259,Gregory Jones,20/11/2022,1
8260,Daniel Brown,04/04/2022,364
8261,Colleen Smith,13/03/2022,906
8262,Gregory Smith,26/06/2022,997
8263,Andrea Bishop,24/12/2022,672
8264,Andrea Simpson,03/11/2022,634
8265,Sarah Bishop,30/10/2022,775
8266,Sarah Sampson,09/04/2022,374
8267,Anthony Bishop,20/06/2022,228
8268,Colleen Allen,23/03/2022,718
8269,Colleen Smith,02/02/2022,97
8270,Jordan Sampson,16/12/2022,252
8271,Susan Johnson,08/10/2022,346
8272,Sarah Simpson,31/07/2022,173
8273,Andrea Allen,03/07/2022,227
8274,Susan Allen,26/06/2022,970
8275,Jordan Brown,15/08/2022,747
8276,Michael Rodriguez,19/03/2022,135
8277,Gregory Smith,14/02/2022,788
8278,Michael Allen,04/07/2022,400
8279,Andrea Johnson,17/08/2022,495
8280,Sarah Allen,28/01/2022,185
8281,Jordan Allen,29/01/2022,117
8282,Susan Rodriguez,07/07/2022,796
8283,Gregory Rodriguez,08/11/2022,964
8284,Anthony Johnson,22/12/2022,403
8285,Daniel Jones,23/10/2022,94
8286,Susan Bishop,11/07/2022,784
8287,Michael Sampson,30/12/2022,546
8288,Jordan Sampson,16/09/2022,696
8289,Colleen Johnson,25/01/2022,516
8290,Anthony Brown,22/12/2022,276
8291,Colleen Johnson,21/06/2022,871
8292,Colleen Simpson,10/09/2022,618
8293,Michael Johnson,03/10/2022,444
8294,Daniel Rodriguez,12/08/2022,858
8295,Andrea Sampson,14/06/2022,614
8296,Jessica Simpson,10/10/2022,246
8297,Daniel Brown,28/01/2022,958
8298,Susan Brown,26/02/2022,792
8299,Susan Johnson,26/07/2022,565
8300,Susan Rodriguez,09/06/2022,315
8301,Colleen Williams,25/06/2022,374
8302,Colleen Allen,02/03/2022,287
8303,Daniel Jones,28/09/2022,199
8304,Andrea Brown,15/11/2022,964
8305,Gregory Bishop,05/04/2022,377
8306,Michael Brown,14/12/2022,318
8307,Jessica Sampson,31/08/2022,560
8308,Jessica Brown,15/01/2022,233
8309,Gregory Simpson,04/07/2022,856
8310,Michael Smith,25/12/2022,862
8311,Colleen Allen,09/08/2022,944
8312,Anthony Brown,20/09/2022,63
8313,Gregory Allen,30/06/2022,876
8314,Anthony Smith,19/02/2022,625
8315,Andrea Bishop,08/02/2022,767
8316,Colleen Bishop,11/04/2022,258
8317,Susan Allen,19/01/2022,816
8318,Colleen Allen,23/12/2022,909
8319,Colleen Brown,04/07/2022,825
8320,Gregory Bishop,13/04/2022,652
8321,Susan Sampson,17/03/2022,215
8322,Colleen Smith,16/12/2022,838
8323,Susan Jones,29/04/2022,761
8324,Daniel Smith,10/03/2022,18
8325,Jordan Bishop,15/07/2022,310
8326,Anthony Smith,16/02/2022,542
8327,Susan Williams,07/08/2022,53
8328,Michael Allen,29/06/2022,817
8329,Colleen Smith,18/05/2022,809
8330,Susan Johnson,15/11/2022,10
8331,Michael Williams,15/03/2022,446
8332,Sarah Bishop,18/12/2022,115
8333,Jessica Bishop,06/09/2022,211
8334,Jordan Allen,23/04/2022,198
8335,Andrea Brown,04/07/2022,918
8336,Andrea Jones,28/12/2022,176
8337,Jessica Rodriguez,08/12/2022,756
8338,Gregory Brown,26/01/2022,664
8339,Jessica Brown,12/04/2022,291
8340,Jessica Sampson,06/12/2022,654
8341,Anthony Johnson,24/01/2022,197
8342,Sarah Simpson,13/02/2022,294
8343,Colleen Sampson,19/11/2022,740
8344,Colleen Rodriguez,12/08/2022,113
8345,Daniel Jones,14/03/2022,540
8346,Susan Johnson,25/01/2022,646
8347,Colleen Johnson,11/12/2022,984
8348,Gregory Jones,20/12/2022,441
8349,Susan Simpson,21/04/2022,429
8350,Daniel Brown,06/06/2022,849
8351,Sarah Allen,10/10/2022,210
8352,Susan Allen,07/09/2022,30
8353,Andrea Brown,05/06/2022,936
8354,Jessica Rodriguez,12/03/2022,365
8355,Sarah Simpson,30/04/2022,973
8356,Susan Allen,14/03/2022,633
8357,Jessica Sampson,19/02/2022,547
8358,Susan Bishop,22/07/2022,688
8359,Colleen Johnson,20/04/2022,852
8360,Susan Brown,16/10/2022,500
8361,Jordan Allen,07/09/2022,472
8362,Andrea Johnson,09/02/2022,213
8363,Colleen Sampson,25/01/2022,641
8364,Michael Bishop,01/03/2022,460
8365,Jordan Bishop,10/04/2022,684
8366,Susan Brown,08/07/2022,813
8367,Daniel Bishop,04/07/2022,440
8368,Andrea Allen,17/10/2022,375
8369,Anthony Johnson,22/12/2022,285
8370,Anthony Rodriguez,13/10/2022,983
8371,Susan Jones,21/10/2022,810
8372,Jessica Smith,30/03/2022,58
8373,Susan Rodriguez,26/12/2022,919
8374,Jordan Jones,28/07/2022,579
8375,Susan Bishop,04/01/2022,945
8376,Susan Johnson,10/02/2022,169
8377,Sarah Williams,29/05/2022,231
8378,Sarah Jones,25/05/2022,375
8379,Susan Allen,27/03/2022,889
8380,Gregory Smith,22/04/2022,838
8381,Andrea Jones,12/05/2022,280
8382,Michael Jones,01/03/2022,589
8383,Colleen Allen,19/04/2022,20
8384,Michael Rodriguez,03/01/2022,863
8385,Michael Bishop,17/11/2022,638
8386,Daniel Allen,22/05/2022,391
8387,Gregory Williams,15/03/2022,931
8388,Gregory Jones,22/12/2022,194
8389,Gregory Simpson,24/10/2022,387
8390,Andrea Smith,28/08/2022,931
8391,Jordan Jones,04/12/2022,545
8392,Gregory Williams,18/07/2022,79
8393,Jessica Simpson,28/08/2022,761
8394,Jordan Brown,06/03/2022,357
8395,Jordan Bishop,06/01/2022,893
8396,Susan Williams,01/03/2022,734
8397,Colleen Brown,26/06/2022,311
8398,Gregory Jones,05/03/2022,22
8399,Jordan Rodriguez,27/01/2022,461
8400,Jordan Jones,06/01/2022,394
8401,Michael Bishop,27/11/2022,84
8402,Susan Johnson,22/07/2022,514
8403,Jordan Jones,09/08/2022,102
8404,Susan Smith,30/09/2022,150
8405,Jessica Allen,14/10/2022,369
8406,Daniel Sampson,29/04/2022,929
8407,Gregory Sampson,15/01/2022,523
8408,Jessica Smith,20/04/2022,509
8409,Andrea Sampson,09/10/2022,147
8410,Gregory Jones,01/10/2022,63
8411,Michael Jones,22/06/2022,369
8412,Jordan Williams,13/06/2022,719
8413,Daniel Simpson,11/05/2022,184
8414,Michael Allen,18/05/2022,746
8415,Jessica Rodriguez,19/05/2022,209
8416,Gregory Jones,04/09/2022,1000
8417,Sarah Jones,27/12/2022,176
8418,Jordan Rodriguez,21/07/2022,22
8419,Michael Sampson,15/06/2022,45
8420,Gregory Simpson,01/07/2022,434
8421,Colleen Smith,08/10/2022,481
8422,Susan Rodriguez,27/03/2022,753
8423,Sarah Rodriguez,12/07/2022,595
8424,Colleen Williams,02/08/2022,777
8425,Colleen Smith,10/09/2022,442
8426,Michael Jones,19/04/2022,213
8427,Jessica Simpson,14/06/2022,673
8428,Sarah Rodriguez,10/07/2022,54
8429,Anthony Brown,18/10/2022,909
8430,Anthony Allen,03/03/2022,238
8431,Jordan Jones,05/08/2022,97
8432,Jessica Brown,14/01/2022,897
8433,Colleen Allen,12/04/2022,332
8434,Michael Johnson,10/05/2022,564
8435,Jessica Sampson,01/08/2022,102
8436,Gregory Bishop,04/07/2022,764
8437,Michael Rodriguez,22/10/2022,953
8438,Jordan Williams,03/05/2022,563
8439,Susan Allen,15/10/2022,331
8440,Michael Jones,23/10/2022,491
8441,Jessica Rodriguez,30/01/2022,663
8442,Gregory Sampson,07/04/2022,128
8443,Jordan Smith,12/04/2022,539
8444,Jordan Johnson,31/03/2022,267
8445,Michael Williams,06/11/2022,943
8446,Sarah Bishop,15/11/2022,765
8447,Sarah Brown,30/08/2022,418
8448,Colleen Sampson,21/02/2022,589
8449,Susan Sampson,02/03/2022,545
8450,Daniel Brown,26/12/2022,665
8451,Daniel Simpson,09/01/2022,589
8452,Jordan Brown,06/05/2022,419
8453,Michael Jones,07/12/2022,484
8454,Colleen Simpson,13/07/2022,461
8455,Gregory Rodriguez,12/07/2022,559
8456,Michael Johnson,13/09/2022,800
8457,Jordan Allen,30/12/2022,13
8458,Susan Smith,20/05/2022,673
8459,Colleen Brown,20/11/2022,727
8460,Jessica Smith,08/04/2022,871
8461,Susan Rodriguez,14/09/2022,500
8462,Michael Johnson,21/08/2022,997
8463,Gregory Bishop,02/09/2022,511
8464,Susan Rodriguez,12/03/2022,124
8465,Jessica Bishop,31/01/2022,951
8466,Jordan Sampson,08/05/2022,731
8467,Gregory Williams,21/01/2022,741
8468,Jordan Williams,01/01/2022,806
8469,Sarah Brown,17/11/2022,405
8470,Susan Bishop,23/10/2022,651
8471,Jessica Sampson,13/11/2022,113
8472,Anthony Smith,26/06/2022,941
8473,Sarah Rodriguez,17/09/2022,566
8474,Gregory Simpson,30/04/2022,518
8475,Gregory Sampson,30/07/2022,262
8476,Jordan Smith,04/01/2022,68
8477,Sarah Allen,04/09/2022,805
8478,Jessica Smith,21/08/2022,462
8479,Susan Bishop,25/12/2022,115
8480,Susan Sampson,03/09/2022,81
8481,Andrea Simpson,13/03/2022,279
8482,Jordan Smith,12/06/2022,360
8483,Michael Simpson,14/02/2022,848
8484,Andrea Rodriguez,15/09/2022,760
8485,Andrea Johnson,25/02/2022,682
8486,Colleen Williams,09/07/2022,34
8487,Andrea Williams,10/08/2022,71
8488,Jessica Brown,04/02/2022,719
8489,Susan Sampson,31/03/2022,343
8490,Susan Rodriguez,05/02/2022,823
8491,Anthony Rodriguez,17/05/2022,479
8492,Daniel Allen,29/06/2022,438
8493,Susan Rodriguez,09/01/2022,817
8494,Sarah Brown,11/09/2022,269
8495,Anthony Williams,06/11/2022,430
8496,Michael Johnson,12/01/2022,102
8497,Gregory Jones,30/10/2022,193
8498,Gregory Bishop,05/09/2022,710
8499,Daniel Williams,01/07/2022,661
8500,Susan Bishop,15/06/2022,798
8501,Daniel Sampson,06/06/2022,351
8502,Jordan Williams,24/02/2022,748
8503,Susan Allen,03/03/2022,869
8504,Gregory Williams,11/10/2022,347
8505,Michael Smith,19/03/2022,830
8506,Susan Brown,07/06/2022,55
8507,Jordan Rodriguez,08/04/2022,956
8508,Gregory Simpson,23/09/2022,968
8509,Susan Johnson,11/12/2022,396
8510,Colleen Williams,27/02/2022,2
8511,Daniel Brown,22/06/2022,720
8512,Susan Jones,15/08/2022,10
8513,Jordan Allen,03/11/2022,155
8514,Michael Brown,30/08/2022,824
8515,Michael Jones,21/10/2022,734
8516,Anthony Jones,03/11/2022,239
8517,Sarah Johnson,24/07/2022,806
8518,Michael Simpson,30/11/2022,822
8519,Jordan Jones,22/04/2022,726
8520,Andrea Simpson,08/06/2022,904
8521,Anthony Smith,26/10/2022,332
8522,Jessica Bishop,05/01/2022,642
8523,Anthony Smith,20/03/2022,275
8524,Colleen Brown,28/05/2022,903
8525,Andrea Brown,13/08/2022,387
8526,Jordan Johnson,09/07/2022,928
8527,Colleen Williams,17/09/2022,227
8528,Anthony Williams,14/02/2022,235
8529,Michael Smith,19/12/2022,91
8530,Sarah Bishop,27/03/2022,921
8531,Colleen Brown,15/09/2022,351
8532,Jessica Williams,03/11/2022,745
8533,Jordan Bishop,23/06/2022,564
8534,Daniel Williams,01/02/2022,367
8535,Colleen Johnson,12/11/2022,39
8536,Susan Johnson,12/05/2022,982
8537,Andrea Brown,17/04/2022,712
8538,Gregory Brown,23/12/2022,248
8539,Gregory Johnson,18/12/2022,880
8540,Andrea Simpson,18/09/2022,168
8541,Susan Johnson,20/06/2022,253
8542,Daniel Jones,13/09/2022,53
8543,Sarah Rodriguez,05/10/2022,64
8544,Anthony Sampson,08/07/2022,828
8545,Daniel Bishop,08/08/2022,123
8546,Jessica Allen,20/10/2022,893
8547,Sarah Smith,16/08/2022,58
8548,Jordan Johnson,08/11/2022,739
8549,Andrea Sampson,30/08/2022,989
8550,Michael Jones,08/03/2022,644
8551,Sarah Rodriguez,05/01/2022,173
8552,Jordan Allen,12/05/2022,769
8553,Jessica Bishop,09/09/2022,149
8554,Jordan Rodriguez,30/11/2022,734
8555,Jessica Johnson,17/09/2022,407
8556,Andrea Williams,20/07/2022,876
8557,Sarah Bishop,24/03/2022,126
8558,Jessica Williams,19/01/2022,485
8559,Susan Allen,23/01/2022,297
8560,Michael Williams,11/07/2022,340
8561,Gregory Allen,30/09/2022,790
8562,Anthony Sampson,28/02/2022,703
8563,Anthony Sampson,07/12/2022,390
8564,Susan Jones,01/10/2022,17
8565,Jessica Jones,13/04/2022,583
8566,Sarah Brown,07/06/2022,301
8567,Andrea Brown,24/03/2022,670
8568,Susan Bishop,18/09/2022,762
8569,Colleen Smith,31/12/2022,813
8570,Andrea Smith,03/10/2022,866
8571,Daniel Allen,01/10/2022,329
8572,Michael Johnson,04/12/2022,682
8573,Colleen Simpson,26/01/2022,870
8574,Sarah Smith,03/03/2022,966
8575,Susan Bishop,08/12/2022,281
8576,Anthony Brown,03/10/2022,54
8577,Daniel Brown,26/08/2022,622
8578,Sarah Johnson,06/08/2022,443
8579,Colleen Sampson,01/11/2022,960
8580,Anthony Sampson,22/06/2022,547
8581,Jessica Smith,14/06/2022,897
8582,Jordan Sampson,24/09/2022,386
8583,Andrea Bishop,07/10/2022,335
8584,Andrea Brown,08/07/2022,87
8585,Sarah Bishop,20/12/2022,108
8586,Andrea Jones,13/03/2022,194
8587,Jessica Allen,23/11/2022,679
8588,Jessica Sampson,31/12/2022,969
8589,Colleen Brown,25/04/2022,954
8590,Jordan Rodriguez,24/02/2022,253
8591,Daniel Jones,02/10/2022,529
8592,Gregory Williams,11/07/2022,817
8593,Anthony Williams,20/04/2022,51
8594,Michael Simpson,02/06/2022,855
8595,Susan Smith,24/11/2022,253
8596,Colleen Brown,08/03/2022,706
8597,Anthony Brown,04/12/2022,914
8598,Susan Bishop,05/04/2022,470
8599,Susan Bishop,12/05/2022,332
8600,Michael Allen,25/01/2022,213
8601,Colleen Allen,28/02/2022,239
8602,Anthony Williams,10/01/2022,132
8603,Daniel Sampson,20/11/2022,992
8604,Andrea Smith,20/09/2022,883
8605,Colleen Bishop,10/12/2022,36
8606,Michael Bishop,07/06/2022,321
8607,Colleen Smith,27/08/2022,954
8608,Jordan Sampson,15/12/2022,956
8609,Colleen Johnson,12/07/2022,800
8610,Colleen Brown,15/04/2022,416
8611,Andrea Jones,09/04/2022,276
8612,Gregory Rodriguez,24/12/2022,65
8613,Colleen Williams,10/01/2022,109
8614,Jordan Williams,14/04/2022,552
8615,Jordan Simpson,18/12/2022,826
8616,Michael Johnson,11/11/2022,206
8617,Andrea Johnson,21/05/2022,803
8618,Jessica Simpson,19/07/2022,196
8619,Anthony Bishop,17/01/2022,624
8620,Gregory Rodriguez,06/10/2022,833
8621,Gregory Allen,30/10/2022,962
8622,Jessica Bishop,18/04/2022,167
8623,Colleen Jones,27/01/2022,25
8624,Anthony Williams,28/04/2022,322
8625,Andrea Brown,21/05/2022,539
8626,Andrea Sampson,30/09/2022,211
8627,Daniel Bishop,02/03/2022,821
8628,Daniel Smith,26/07/2022,743
8629,Gregory Bishop,06/02/2022,429
8630,Jessica Bishop,28/09/2022,502
8631,Susan Smith,09/01/2022,91
8632,Gregory Sampson,23/11/2022,341
8633,Gregory Rodriguez,06/08/2022,301
8634,Daniel Johnson,23/09/2022,594
8635,Colleen Williams,09/03/2022,503
8636,Jessica Rodriguez,18/11/2022,432
8637,Gregory Sampson,09/05/2022,945
8638,Jordan Johnson,29/08/2022,356
8639,Jessica Sampson,24/07/2022,792
8640,Michael Sampson,31/05/2022,222
8641,Gregory Johnson,26/10/2022,418
8642,Colleen Johnson,02/03/2022,315
8643,Colleen Allen,23/04/2022,577
8644,Colleen Smith,04/06/2022,698
8645,Jordan Johnson,31/10/2022,629
8646,Anthony Brown,08/06/2022,25
8647,Sarah Smith,02/10/2022,575
8648,Gregory Rodriguez,09/01/2022,122
8649,Gregory Rodriguez,26/02/2022,766
8650,Sarah Smith,26/04/2022,158
8651,Michael Smith,14/03/2022,114
8652,Andrea Johnson,16/12/2022,608
8653,Michael Sampson,01/05/2022,211
8654,Jordan Smith,07/01/2022,676
8655,Susan Brown,01/08/2022,934
8656,Michael Bishop,29/06/2022,4
8657,Susan Williams,03/08/2022,84
8658,Susan Brown,03/03/2022,493
8659,Michael Johnson,10/07/2022,37
8660,Anthony Sampson,14/04/2022,132
8661,Gregory Smith,21/11/2022,523
8662,Andrea Simpson,28/09/2022,65
8663,Colleen Bishop,03/12/2022,48
8664,Sarah Sampson,21/06/2022,456
8665,Anthony Allen,18/06/2022,960
8666,Jordan Williams,19/12/2022,738
8667,Colleen Allen,29/07/2022,339
8668,Daniel Jones,19/11/2022,402
8669,Sarah Allen,21/03/2022,676
8670,Andrea Bishop,03/12/2022,877
8671,Anthony Johnson,14/10/2022,965
8672,Anthony Rodriguez,13/09/2022,266
8673,Andrea Sampson,20/07/2022,146
8674,Anthony Johnson,27/11/2022,718
8675,Colleen Jones,20/02/2022,815
8676,Jessica Johnson,14/01/2022,818
8677,Susan Rodriguez,18/09/2022,715
8678,Daniel Allen,27/08/2022,905
8679,Colleen Smith,16/01/2022,465
8680,Andrea Jones,09/07/2022,799
8681,Jessica Williams,18/05/2022,136
8682,Daniel Johnson,09/02/2022,246
8683,Gregory Smith,25/01/2022,980
8684,Michael Williams,10/03/2022,605
8685,Jordan Sampson,25/05/2022,922
8686,Sarah Sampson,14/09/2022,438
8687,Andrea Bishop,06/10/2022,464
8688,Colleen Williams,23/09/2022,84
8689,Michael Rodriguez,20/04/2022,621
8690,Andrea Johnson,06/11/2022,203
8691,Sarah Williams,26/03/2022,418
8692,Daniel Sampson,01/11/2022,980
8693,Anthony Smith,02/12/2022,630
8694,Andrea Rodriguez,08/04/2022,96
8695,Sarah Simpson,01/10/2022,109
8696,Daniel Rodriguez,25/07/2022,152
8697,Michael Bishop,13/04/2022,605
8698,Anthony Smith,12/10/2022,81
8699,Michael Williams,18/10/2022,444
8700,Susan Brown,17/01/2022,213
8701,Susan Sampson,06/04/2022,677
8702,Colleen Brown,12/06/2022,971
8703,Anthony Smith,27/05/2022,549
8704,Colleen Rodriguez,26/09/2022,959
8705,Sarah Johnson,15/07/2022,612
8706,Susan Bishop,16/12/2022,469
8707,Michael Smith,11/12/2022,170
8708,Susan Johnson,26/10/2022,1
8709,Andrea Williams,06/12/2022,191
8710,Jordan Sampson,01/06/2022,686
8711,Jessica Bishop,23/03/2022,827
8712,Jessica Bishop,18/02/2022,95
8713,Jessica Smith,07/10/2022,328
8714,Susan Rodriguez,02/11/2022,133
8715,Susan Sampson,05/04/2022,197
8716,Andrea Brown,07/01/2022,751
8717,Andrea Brown,04/04/2022,90
8718,Jordan Smith,13/06/2022,637
8719,Sarah Simpson,22/07/2022,377
8720,Jessica Sampson,17/03/2022,370
8721,Andrea Bishop,12/04/2022,98
8722,Jordan Brown,14/11/2022,270
8723,Colleen Bishop,26/01/2022,130
8724,Colleen Bishop,26/10/2022,837
8725,Daniel Bishop,15/08/2022,313
8726,Anthony Sampson,16/05/2022,572
8727,Gregory Simpson,17/09/2022,558
8728,Colleen Johnson,06/07/2022,955
8729,Michael Allen,21/11/2022,40
8730,Gregory Smith,07/12/2022,421
8731,Colleen Brown,16/09/2022,390
8732,Susan Williams,24/11/2022,877
8733,Andrea Williams,13/06/2022,136
8734,Gregory Simpson,14/02/2022,38
8735,Michael Bishop,28/01/2022,105
8736,Colleen Sampson,23/01/2022,735
8737,Michael Allen,08/06/2022,68
8738,Susan Smith,06/09/2022,302
8739,Daniel Rodriguez,08/07/2022,471
8740,Sarah Simpson,16/08/2022,688
8741,Jordan Bishop,08/01/2022,148
8742,Daniel Brown,19/12/2022,87
8743,Jordan Brown,20/05/2022,562
8744,Michael Smith,11/12/2022,674
8745,Andrea Rodriguez,02/05/2022,186
8746,Jordan Jones,27/06/2022,699
8747,Colleen Williams,08/08/2022,172
8748,Jordan Jones,26/01/2022,476
8749,Jessica Rodriguez,02/02/2022,32
8750,Jordan Rodriguez,22/05/2022,530
8751,Colleen Williams,09/12/2022,318
8752,Colleen Allen,22/10/2022,416
8753,Andrea Rodriguez,25/06/2022,743
8754,Anthony Brown,04/06/2022,743
8755,Michael Johnson,05/09/2022,21
8756,Jessica Simpson,07/11/2022,520
8757,Sarah Rodriguez,26/08/2022,294
8758,Colleen Bishop,26/02/2022,308
8759,Jordan Brown,09/06/2022,453
8760,Jessica Jones,11/04/2022,25
8761,Sarah Brown,23/09/2022,239
8762,Colleen Simpson,20/07/2022,694
8763,Anthony Rodriguez,09/10/2022,906
8764,Gregory Bishop,26/11/2022,299
8765,Susan Smith,27/01/2022,265
8766,Susan Johnson,11/06/2022,40
8767,Andrea Brown,30/07/2022,321
8768,Colleen Sampson,13/11/2022,339
8769,Gregory Allen,20/10/2022,789
8770,Jessica Johnson,18/01/2022,417
8771,Sarah Allen,24/07/2022,613
8772,Andrea Brown,31/05/2022,238
8773,Sarah Williams,24/08/2022,133
8774,Colleen Sampson,10/11/2022,312
8775,Colleen Smith,02/11/2022,425
8776,Michael Rodriguez,15/02/2022,163
8777,Michael Williams,20/02/2022,752
8778,Andrea Johnson,30/05/2022,34
8779,Daniel Bishop,20/12/2022,761
8780,Andrea Smith,15/08/2022,737
8781,Sarah Simpson,30/10/2022,703
8782,Sarah Brown,29/01/2022,580
8783,Colleen Jones,14/07/2022,902
8784,Susan Johnson,03/03/2022,26
8785,Anthony Simpson,19/08/2022,85
8786,Jordan Rodriguez,28/09/2022,650
8787,Gregory Jones,11/10/2022,483
8788,Sarah Sampson,23/12/2022,621
8789,Andrea Allen,24/03/2022,308
8790,Jordan Jones,09/08/2022,937
8791,Gregory Williams,11/07/2022,656
8792,Gregory Williams,17/08/2022,798
8793,Jessica Brown,24/02/2022,924
8794,Andrea Allen,05/03/2022,400
8795,Jessica Bishop,18/02/2022,391
8796,Susan Sampson,06/09/2022,435
8797,Michael Simpson,09/05/2022,963
8798,Jessica Jones,25/11/2022,363
8799,Michael Bishop,20/01/2022,579
8800,Michael Rodriguez,26/02/2022,377
8801,Jessica Williams,18/09/2022,397
8802,Jessica Bishop,26/10/2022,561
8803,Jordan Bishop,18/03/2022,470
8804,Jessica Williams,03/11/2022,632
8805,Colleen Johnson,19/04/2022,84
